data,class,scenario,rssi,mcs,pc_timestamp
"[110,96,6,0,-21,16,-19,15,-17,15,-16,14,-15,13,-14,13,-13,13,-12,12,-11,12,-11,11,-10,10,-10,10,-10,10,-9,9,-9,8,-9,7,-9,7,-9,6,-9,5,-10,4,-10,3,-10,2,-10,1,-10,0,-10,0,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,4,-16,15,-17,14,-18,13,-20,12,-21,11,-22,10,-22,9,-22,8,-23,8,-24,7,-24,7,-25,6,-25,7,-25,7,-25,7,-25,7,-25,8,-25,9,-25,10,-24,11,-25,12,-24,12,-24,14,-24,15,-25,16,-25,17]",1,person_udp_30hz,-62,7,1747602705.55485
"[110,96,6,0,-28,3,-25,3,-23,4,-22,4,-21,4,-20,5,-19,5,-18,5,-16,5,-16,5,-15,5,-15,4,-14,4,-13,3,-13,3,-12,2,-12,2,-12,1,-11,0,-11,-1,-11,-2,-11,-2,-10,-3,-9,-4,-9,-5,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1,-22,5,-23,3,-23,1,-24,-1,-24,-2,-24,-3,-24,-4,-24,-5,-24,-5,-25,-6,-25,-7,-25,-7,-26,-7,-26,-7,-26,-7,-26,-6,-27,-6,-27,-5,-27,-5,-27,-4,-28,-2,-28,-2,-28,-1,-29,1,-30,2,-32,3]",1,person_udp_30hz,-62,7,1747602705.7211862
"[100,-64,5,0,-12,25,-10,23,-9,22,-8,21,-7,20,-6,19,-5,18,-5,17,-4,16,-4,16,-4,15,-4,14,-4,13,-4,13,-4,12,-5,12,-5,11,-6,11,-6,10,-7,9,-7,8,-8,7,-9,6,-9,5,-9,5,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,5,-8,22,-10,21,-12,21,-13,20,-15,20,-16,19,-17,19,-18,19,-18,18,-19,18,-20,18,-20,18,-20,18,-20,18,-20,19,-20,19,-19,20,-19,20,-18,21,-18,22,-17,23,-16,23,-16,24,-16,24,-15,26,-15,28]",1,person_udp_30hz,-62,7,1747602706.668749
"[100,-64,5,0,20,-16,18,-15,16,-14,15,-14,14,-13,13,-13,13,-13,12,-12,11,-12,10,-12,9,-11,9,-11,9,-10,9,-9,9,-8,9,-8,8,-7,9,-6,9,-6,9,-5,9,-4,9,-3,9,-2,9,-1,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-4,16,-15,17,-14,18,-12,19,-11,20,-10,21,-9,21,-8,22,-7,22,-7,23,-7,22,-7,23,-7,23,-7,24,-7,24,-7,24,-7,24,-8,24,-9,24,-9,24,-10,23,-10,23,-11,23,-13,23,-14,23,-16,25,-17]",1,person_udp_30hz,-62,7,1747602706.7043798
"[100,-64,5,0,-27,5,-25,5,-22,6,-21,6,-21,6,-19,7,-18,7,-17,7,-15,7,-15,8,-15,7,-14,6,-14,6,-14,6,-13,5,-13,3,-13,3,-13,3,-13,1,-12,0,-11,-2,-10,-3,-10,-3,-10,-4,-10,-5,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1,-24,4,-24,2,-25,-1,-26,-3,-26,-5,-26,-6,-27,-7,-28,-8,-27,-10,-26,-11,-26,-11,-26,-11,-26,-11,-26,-10,-26,-10,-26,-10,-27,-9,-26,-8,-26,-6,-27,-5,-27,-4,-27,-3,-28,-1,-28,0,-30,1,-31,3]",1,person_udp_30hz,-63,7,1747602706.740298
"[100,-64,5,0,-17,20,-15,18,-13,17,-12,17,-11,16,-10,15,-9,15,-8,14,-7,14,-7,13,-7,12,-7,12,-7,11,-7,11,-7,10,-7,9,-7,9,-7,8,-8,7,-8,6,-9,5,-9,5,-9,4,-9,3,-9,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,4,-12,18,-14,17,-15,16,-17,14,-18,14,-19,13,-19,13,-20,12,-20,12,-21,11,-22,11,-22,11,-22,11,-22,12,-22,12,-22,13,-22,13,-22,14,-21,15,-21,16,-21,16,-20,17,-20,18,-19,19,-20,20,-20,22]",1,person_udp_30hz,-62,7,1747602706.775638
"[100,-64,5,0,7,-29,6,-26,5,-24,4,-23,3,-22,3,-21,2,-20,1,-19,1,-18,0,-18,1,-17,1,-16,1,-15,1,-15,2,-14,3,-13,3,-13,3,-12,4,-12,4,-11,5,-10,6,-9,7,-8,8,-8,8,-7,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-6,5,-24,6,-24,9,-24,10,-23,12,-23,13,-22,14,-22,15,-22,15,-22,16,-22,17,-21,18,-22,18,-22,18,-22,18,-23,17,-23,16,-23,16,-24,15,-25,14,-26,13,-26,13,-27,12,-27,12,-28,12,-30,11,-32]",1,person_udp_30hz,-62,7,1747602706.8112671
"[100,-64,5,0,-7,-24,-6,-21,-6,-20,-6,-19,-7,-18,-7,-16,-7,-15,-7,-15,-7,-14,-7,-13,-7,-13,-6,-12,-5,-12,-5,-11,-5,-11,-4,-11,-3,-11,-2,-10,-2,-10,-2,-11,-1,-11,0,-10,1,-10,2,-10,2,-9,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-5,-6,-20,-4,-20,-3,-20,-1,-21,0,-21,0,-21,1,-22,2,-22,2,-22,3,-22,4,-22,4,-23,4,-23,4,-23,4,-23,3,-24,2,-24,2,-24,1,-24,0,-25,-1,-25,-2,-25,-2,-25,-3,-25,-4,-26,-4,-27]",1,person_udp_30hz,-62,7,1747602706.845688
"[100,-64,5,0,-23,-19,-21,-17,-20,-15,-19,-14,-19,-13,-18,-12,-17,-11,-16,-10,-15,-9,-15,-9,-15,-8,-14,-8,-13,-8,-13,-8,-12,-8,-11,-9,-10,-9,-9,-9,-8,-9,-7,-10,-7,-10,-6,-10,-5,-10,-3,-11,-2,-11,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-4,-20,-14,-19,-16,-18,-18,-17,-19,-16,-20,-15,-22,-15,-23,-14,-24,-14,-24,-13,-24,-13,-25,-13,-25,-13,-25,-14,-25,-14,-26,-14,-26,-15,-25,-16,-25,-17,-24,-18,-24,-19,-23,-19,-23,-20,-22,-21,-22,-23,-23,-24,-24]",1,person_udp_30hz,-62,7,1747602706.8806431
"[100,-64,5,0,-8,24,-7,22,-6,21,-5,20,-4,19,-4,17,-3,16,-3,16,-2,15,-2,15,-2,14,-2,14,-2,13,-2,12,-3,12,-3,11,-3,10,-4,10,-4,9,-5,8,-6,8,-7,7,-7,7,-7,6,-8,5,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,5,-5,21,-6,20,-8,20,-10,19,-11,19,-12,19,-13,19,-14,19,-14,18,-15,18,-15,18,-16,18,-16,19,-17,19,-16,19,-16,20,-15,20,-15,20,-15,21,-14,22,-13,23,-12,23,-12,23,-11,24,-11,26,-10,27]",1,person_udp_30hz,-62,7,1747602706.917691
"[100,-64,5,0,16,-19,14,-18,13,-17,12,-17,11,-16,10,-15,9,-15,8,-14,7,-14,7,-13,6,-13,6,-12,6,-12,6,-11,6,-10,6,-9,6,-9,6,-9,7,-8,7,-7,7,-6,8,-5,8,-4,8,-3,8,-3,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-5,13,-17,14,-16,16,-15,17,-14,18,-13,19,-12,19,-12,20,-11,20,-11,21,-11,21,-10,22,-10,22,-10,22,-10,22,-11,22,-11,22,-12,21,-13,21,-14,21,-14,21,-15,20,-16,20,-17,20,-18,20,-20,21,-21]",1,person_udp_30hz,-62,7,1747602706.962837
"[100,-64,5,0,-14,-23,-14,-21,-13,-19,-12,-18,-12,-17,-12,-15,-12,-15,-11,-14,-11,-13,-10,-13,-10,-12,-10,-12,-9,-11,-8,-11,-7,-11,-7,-11,-6,-11,-6,-11,-5,-11,-4,-11,-3,-11,-2,-10,-1,-10,0,-10,1,-10,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-5,-13,-19,-12,-19,-11,-21,-10,-22,-8,-22,-7,-23,-7,-23,-6,-24,-5,-24,-4,-24,-4,-25,-4,-25,-4,-26,-4,-26,-4,-26,-5,-26,-6,-26,-6,-26,-6,-26,-7,-26,-8,-26,-10,-26,-10,-26,-12,-26,-13,-27,-14,-28]",1,person_udp_30hz,-62,7,1747602706.998083
"[100,-64,5,0,-26,-9,-24,-8,-22,-7,-21,-6,-20,-5,-19,-4,-18,-4,-17,-3,-16,-3,-16,-3,-16,-3,-15,-3,-14,-3,-13,-3,-13,-3,-12,-4,-11,-4,-11,-5,-10,-5,-10,-6,-9,-6,-9,-7,-8,-7,-7,-8,-6,-9,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-2,-21,-7,-21,-9,-20,-11,-20,-13,-19,-13,-19,-14,-19,-15,-19,-16,-18,-17,-18,-18,-18,-19,-18,-19,-18,-19,-19,-19,-19,-19,-20,-19,-20,-18,-21,-17,-22,-17,-22,-16,-23,-15,-24,-15,-24,-14,-25,-14,-27,-13,-28,-14]",1,person_udp_30hz,-62,7,1747602707.0325918
"[100,-64,5,0,-25,-12,-23,-11,-22,-9,-21,-8,-20,-7,-19,-6,-18,-5,-17,-5,-16,-5,-16,-4,-16,-4,-15,-4,-14,-4,-13,-4,-13,-4,-12,-5,-12,-5,-11,-6,-10,-6,-10,-6,-9,-7,-8,-7,-7,-8,-6,-8,-5,-9,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-3,-20,-9,-20,-11,-19,-13,-19,-14,-18,-16,-18,-17,-18,-17,-17,-18,-17,-18,-17,-19,-16,-20,-16,-20,-17,-20,-17,-21,-18,-21,-18,-20,-19,-20,-19,-19,-20,-19,-21,-18,-22,-17,-23,-16,-23,-16,-25,-16,-26,-16,-27,-16]",1,person_udp_30hz,-62,7,1747602707.0661209
"[100,-64,5,0,18,-18,15,-17,14,-17,13,-16,12,-15,11,-15,10,-14,9,-14,8,-13,8,-13,7,-12,7,-11,7,-11,7,-11,7,-10,8,-9,8,-9,7,-8,7,-7,7,-6,8,-5,8,-4,8,-4,8,-3,8,-2,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-5,13,-17,14,-16,16,-14,17,-13,18,-13,19,-12,19,-11,20,-10,20,-10,21,-10,22,-10,22,-9,23,-9,23,-10,23,-10,22,-11,22,-11,22,-12,22,-12,22,-13,21,-14,21,-15,21,-16,21,-17,21,-18,22,-20]",1,person_udp_30hz,-62,7,1747602707.10177
"[100,-64,5,0,-18,-20,-17,-18,-16,-16,-15,-15,-15,-14,-15,-13,-14,-12,-13,-11,-13,-10,-12,-10,-12,-9,-12,-9,-11,-9,-10,-9,-9,-9,-9,-9,-8,-9,-7,-9,-6,-9,-6,-9,-5,-9,-4,-9,-3,-9,-1,-10,0,-10,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-4,-16,-15,-15,-16,-14,-18,-13,-19,-12,-20,-11,-21,-11,-21,-10,-22,-9,-22,-9,-23,-9,-23,-9,-23,-9,-24,-9,-24,-9,-24,-10,-24,-10,-24,-11,-24,-12,-24,-13,-23,-14,-23,-14,-23,-15,-22,-16,-22,-18,-23,-19,-24]",1,person_udp_30hz,-62,7,1747602707.1372359
"[100,-64,5,0,-17,21,-15,20,-13,19,-12,18,-11,17,-10,16,-9,16,-9,15,-8,15,-7,14,-8,13,-7,13,-7,12,-6,11,-6,11,-7,10,-7,9,-7,9,-8,8,-8,7,-9,6,-9,5,-9,4,-10,3,-10,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,4,-12,19,-13,17,-15,16,-16,16,-18,15,-19,14,-19,14,-20,14,-21,13,-21,13,-22,12,-22,13,-23,13,-23,13,-23,13,-23,13,-23,14,-22,15,-22,15,-21,16,-21,17,-21,18,-20,19,-20,20,-20,22,-21,23]",1,person_udp_30hz,-62,7,1747602707.198648
"[100,-64,5,0,-1,26,-1,23,0,22,1,21,1,20,2,18,2,17,2,17,3,16,3,15,2,14,2,13,2,13,1,12,1,12,0,11,0,12,-1,11,-1,11,-2,10,-3,9,-4,9,-5,9,-5,8,-6,8,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,21,-2,21,-4,21,-6,21,-7,21,-8,21,-9,21,-10,21,-10,21,-11,21,-12,21,-12,21,-12,22,-12,22,-12,23,-11,23,-11,23,-10,23,-9,24,-8,24,-7,25,-6,25,-6,26,-5,26,-5,28,-4,30]",1,person_udp_30hz,-62,7,1747602707.233768
"[100,-64,5,0,25,9,23,7,21,6,20,5,19,4,18,3,17,3,16,3,15,2,15,2,14,2,14,2,13,2,12,2,12,3,11,3,10,3,10,4,9,4,9,4,8,5,8,5,6,6,5,7,4,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,21,6,20,8,19,9,19,11,18,13,18,14,18,14,17,15,17,16,17,16,17,17,17,17,17,18,18,18,18,18,18,17,19,17,19,16,20,16,21,15,22,14,23,14,23,13,24,13,26,13,27,13]",1,person_udp_30hz,-62,7,1747602707.267742
"[100,-64,5,0,27,7,25,6,23,5,22,4,21,4,20,3,19,3,18,3,17,2,16,2,16,2,15,2,14,2,13,2,12,2,12,3,11,3,11,4,10,5,10,5,9,6,8,6,7,7,6,8,5,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,3,22,5,22,7,22,9,21,10,21,11,21,12,21,13,21,14,20,15,20,16,20,17,20,17,21,17,21,17,22,16,22,16,23,15,23,14,24,14,25,13,26,12,26,11,27,11,29,11,30,11]",1,person_udp_30hz,-62,7,1747602707.3037062
"[100,-64,5,0,-27,-1,-24,-1,-23,0,-21,0,-20,1,-19,1,-18,1,-17,1,-16,2,-16,2,-15,2,-15,2,-14,1,-13,1,-13,0,-12,0,-12,-1,-12,-2,-11,-2,-11,-3,-10,-4,-10,-4,-9,-5,-8,-6,-7,-7,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,-22,1,-22,-1,-22,-3,-23,-4,-23,-6,-22,-7,-22,-8,-22,-9,-22,-9,-22,-10,-22,-10,-23,-11,-23,-11,-23,-11,-24,-11,-24,-11,-24,-10,-24,-9,-25,-9,-26,-8,-26,-7,-27,-6,-27,-5,-28,-5,-29,-4,-30,-3]",1,person_udp_30hz,-62,7,1747602707.339183
"[100,-64,5,0,-24,13,-21,12,-19,12,-18,12,-17,12,-16,11,-15,11,-14,10,-13,10,-12,10,-12,10,-12,9,-11,9,-11,8,-10,7,-10,6,-10,6,-10,5,-10,5,-10,3,-11,2,-11,1,-11,0,-10,-1,-10,-1,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,3,-18,12,-19,10,-20,9,-21,7,-22,6,-22,6,-23,5,-24,4,-24,4,-24,3,-25,3,-25,2,-25,3,-26,3,-26,3,-26,3,-25,4,-26,5,-26,6,-26,6,-26,7,-26,8,-26,9,-26,10,-27,12,-27,13]",1,person_udp_30hz,-62,7,1747602707.374489
"[100,-64,5,0,23,-14,21,-13,19,-13,18,-13,17,-13,15,-12,14,-12,13,-12,12,-12,12,-12,12,-11,11,-10,10,-10,10,-9,10,-8,10,-8,10,-7,9,-7,9,-6,10,-5,10,-3,10,-2,10,-1,9,0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-4,18,-14,18,-12,19,-11,20,-9,21,-8,22,-7,22,-6,23,-6,23,-5,24,-4,24,-4,25,-4,25,-4,25,-4,26,-5,25,-5,25,-6,25,-6,26,-7,26,-8,25,-9,25,-10,25,-10,26,-12,27,-13,28,-15]",1,person_udp_30hz,-62,7,1747602707.411166
"[100,-64,5,0,0,26,0,23,1,22,1,21,2,20,2,19,3,17,3,16,3,16,3,15,2,14,2,13,2,13,2,12,1,12,1,12,0,11,-1,11,-1,11,-2,10,-3,9,-4,9,-5,8,-6,8,-6,7,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,21,1,21,-1,21,-2,22,-4,22,-5,22,-6,22,-7,22,-7,22,-8,22,-9,22,-9,22,-9,23,-9,23,-9,23,-9,24,-8,24,-8,25,-7,25,-6,25,-5,26,-4,26,-3,26,-3,27,-2,28,-2,30]",1,person_udp_30hz,-62,7,1747602707.444726
"[100,-64,5,0,2,27,3,24,3,22,3,21,4,20,4,19,4,17,4,17,4,16,5,15,4,14,4,13,3,13,3,13,3,12,2,12,1,11,1,11,0,11,-1,11,-2,10,-3,9,-4,9,-5,9,-6,9,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,21,2,21,0,22,-2,22,-3,22,-4,23,-5,23,-6,23,-6,23,-7,23,-7,23,-8,24,-8,24,-8,24,-8,25,-7,25,-7,25,-6,25,-6,26,-5,26,-4,26,-3,27,-2,27,-1,28,0,29,1,31]",1,person_udp_30hz,-62,7,1747602707.4804952
"[100,-64,5,0,-26,-5,-24,-4,-22,-4,-21,-3,-21,-2,-20,-2,-18,-1,-17,-1,-17,-1,-16,-1,-15,-1,-15,-1,-14,-1,-13,-1,-13,-1,-12,-2,-12,-3,-11,-3,-11,-3,-10,-4,-10,-5,-9,-5,-8,-6,-7,-7,-6,-8,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,-22,-4,-22,-5,-21,-7,-21,-9,-21,-10,-21,-11,-21,-12,-20,-13,-20,-13,-20,-14,-20,-15,-20,-15,-20,-15,-21,-15,-21,-15,-22,-14,-22,-14,-23,-14,-23,-13,-24,-12,-25,-11,-25,-10,-26,-10,-26,-9,-28,-9,-29,-8]",1,person_udp_30hz,-62,7,1747602707.5147488
"[100,-64,5,0,-19,19,-17,18,-15,17,-14,16,-13,16,-12,15,-11,14,-10,14,-9,13,-9,13,-9,12,-8,11,-8,11,-8,10,-8,9,-9,9,-9,8,-9,7,-8,6,-8,5,-9,4,-10,4,-10,3,-10,2,-10,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,4,-13,17,-14,17,-16,15,-17,14,-19,14,-19,13,-20,13,-21,12,-21,11,-22,11,-22,11,-23,11,-23,11,-24,11,-24,11,-23,11,-23,12,-23,12,-23,13,-22,15,-22,16,-22,16,-21,17,-21,18,-21,20,-22,21]",1,person_udp_30hz,-62,7,1747602707.550219
"[100,-64,5,0,-26,7,-24,7,-22,7,-21,7,-19,7,-18,7,-17,7,-16,7,-15,7,-14,7,-14,7,-14,6,-13,5,-12,5,-12,4,-12,3,-11,2,-11,2,-11,2,-11,0,-11,-1,-10,-1,-10,-2,-9,-3,-8,-3,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,2,-20,7,-21,5,-22,4,-23,2,-23,1,-23,0,-24,-1,-24,-1,-24,-2,-24,-3,-24,-4,-25,-4,-25,-4,-26,-4,-26,-3,-26,-3,-26,-2,-26,-2,-27,-1,-27,0,-27,1,-27,2,-27,3,-28,3,-29,5,-30,6]",1,person_udp_30hz,-62,7,1747602707.650697
